City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
277,Ponta Delgada,PT,68.72,broken clouds,37.7333,-25.6667,Vila Nova Hotel
278,Los Llanos De Aridane,ES,67.75,clear sky,28.6585,-17.9182,Valle Aridane
279,Batagay,RU,62.69,overcast clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
280,Kruisfontein,ZA,41.88,light rain,-34.0033,24.7314,Oyster Bay House Rental
281,Miandrivazo,MG,70.5,scattered clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
282,Klaksvik,FO,52.72,clear sky,62.2266,-6.589,Airbnb rooms
283,Matara,LK,78.71,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
284,Miyako,JP,75.34,overcast clouds,39.6367,141.9525,Hotel Route Inn Miyako
286,Saint-Paul,RE,69.91,broken clouds,-21.0096,55.2707,Boucan Canot
287,Quickborn,DE,59.79,broken clouds,53.7333,9.9,ibis budget Hamburg Quickborn
288,Marsa Matruh,EG,77.2,clear sky,31.3525,27.2453,Beau Site
290,Dalvik,IS,60.73,clear sky,65.9702,-18.5286,Dalvík HI Hostel
291,Esperance,AU,51.64,overcast clouds,-33.8667,121.9,Hospitality Esperance
292,Longyearbyen,SJ,40.84,few clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
296,Nizhnyaya Poyma,RU,61.03,few clouds,56.1622,97.1933,Gostinitsa
297,Mount Gambier,AU,44.51,overcast clouds,-37.8333,140.7667,The Commodore
298,Bibbiena,IT,73.08,few clouds,43.6965,11.8135,Hotel Borgo Antico
299,Padang,ID,73.45,broken clouds,-0.9492,100.3543,Mercure Padang
300,Kununurra,AU,60.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
301,Rosa Zarate,EC,76.05,light rain,0.3333,-79.4667,Piscinas y Recepciones Hecalash
302,Chalakudi,IN,75.11,heavy intensity rain,10.304,76.3361,Hotel Sidhartha Luxury Business Class Hotel 4 STAR
303,Benguela,AO,68.13,few clouds,-12.5763,13.4055,Hotel Praia Morena
305,San Vicente,AR,51.82,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
306,Mehamn,NO,43.52,light rain,71.0357,27.8492,Mehamn Arctic Hotel AS
307,Severobaykalsk,RU,60.48,clear sky,55.65,109.3167,Hostel03RUS
309,Peniche,PT,64.72,few clouds,39.3558,-9.3811,Hotel Star inn Peniche
311,Newport,GB,71.71,clear sky,51.5877,-2.9984,ibis budget Newport
313,Maragogi,BR,73.9,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
315,Hobyo,SO,77.22,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
316,Chapais,CA,69.58,broken clouds,49.7834,-74.8492,Hôtel Opémiska
317,Kozluk,TR,66.45,clear sky,38.1938,41.4885,roni rezisdans kozluk apart otel
320,Capao Da Canoa,BR,53.01,clear sky,-29.7456,-50.0097,Hotel Araçá
322,Aleksandrov Gay,RU,77.95,few clouds,50.147,48.5704,Gostinitsa I.p. Yes'kov A.v
324,Fort Nelson,CA,67.59,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
327,Ust-Tsilma,RU,41.31,broken clouds,65.441,52.1498,U Praskov'i
328,Iqaluit,CA,46.13,overcast clouds,63.7506,-68.5145,Frobisher Inn
330,Husavik,IS,60.71,clear sky,66.0449,-17.3389,Bjarnabúð
331,Porto Novo,BJ,78.62,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
334,Bonavista,CA,52.12,broken clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
338,Carballo,ES,64.54,overcast clouds,43.213,-8.691,Pazo do Souto
339,Nanortalik,GL,43.84,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
341,Kenai,US,58.08,moderate rain,60.5544,-151.2583,Aspen Extended Stay Suites
343,Adelaide,AU,45.1,light intensity drizzle,-34.9333,138.6,The Chancellor on Currie
345,Ullapool,GB,60.76,few clouds,57.8987,-5.1604,Argyll Hotel
346,Mormugao,IN,77.45,moderate rain,15.4,73.8,Coconut Creek Resort
349,Pitimbu,BR,72.19,few clouds,-7.4706,-34.8086,Reserva do Abiaí
352,Bintulu,MY,73.81,few clouds,3.1667,113.0333,900 Boutique INN
353,Gat,IL,77.68,clear sky,31.61,34.7642,OlusHome
355,Habiganj,BD,78.37,overcast clouds,24.3833,91.4167,"আব্দুল ছাওার,, সুলতানশী হবিগঞ্জ ( Gias uddin)"
356,Skjervoy,NO,48.11,overcast clouds,70.0311,20.9714,Skjervøy Byggeservice AS
357,Kurchum,KZ,74.57,overcast clouds,48.5722,83.6542,"Gostinitsa ""Kneda"""
359,Along,IN,76.32,broken clouds,28.1667,94.7667,Hotel West
361,Bolzano,IT,72.95,broken clouds,46.4927,11.3336,Hotel Regina
364,Howard Springs,AU,72.88,broken clouds,-12.497,131.047,buffalo beach hostel
365,Tobol,KZ,67.98,broken clouds,52.6844,62.5794,Tobol Gostinitsa
367,Ryde,GB,70.75,scattered clouds,50.73,-1.1621,Dorset Hotel
370,Harper,LR,76.3,scattered clouds,4.375,-7.7169,Screensaver
372,San Rafael,AR,56.03,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
373,Saint-Pierre,RE,69.48,light rain,-21.3393,55.4781,Lindsey Hôtel
374,San Nicolas,PH,78.71,overcast clouds,18.1725,120.5953,NORTHVIEW Hotel
376,Paka,MY,75.13,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA
377,Igrim,RU,52.39,clear sky,63.1906,64.4162,Obshchezhitiye Uchebno-Proizvodstvennogo Tsentra
378,Vigrestad,NO,55.58,clear sky,58.5667,5.7,Brusand Camping
379,Paso De Carrasco,UY,50.14,broken clouds,-34.8603,-56.0522,Hotel Sofitel Montevideo Casino Carrasco and Spa
381,Ust-Ishim,RU,62.11,light rain,57.6935,71.1665,"Velichko T.p., Gostinitsa"
384,Sibolga,ID,75.67,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
385,Coquimbo,CL,49.73,few clouds,-29.9533,-71.3436,Punto de encuentro
387,Novyy Urengoy,RU,62.26,light rain,66.0833,76.6333,Apartments Moy Dom na Gubkina
389,Victoria Point,AU,62.58,clear sky,-27.5833,153.3,Bay Retreat Motel
390,Deputatskiy,RU,53.08,overcast clouds,69.3,139.9,Baza Otdykha
391,Stykkisholmur,IS,53.44,broken clouds,65.0757,-22.7297,Fosshótel Stykkishólmur
392,Zhigansk,RU,63.34,broken clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
393,Bantry,IE,65.68,overcast clouds,51.6833,-9.45,The Maritime Hotel
394,Maldonado,UY,48.22,broken clouds,-34.6667,-54.9167,La Cimarrona
396,Matane,CA,64.15,overcast clouds,48.8286,-67.522,Hotel-Motel Belle Plage
398,Itabira,BR,57.7,clear sky,-19.6192,-43.2269,Premium Executive Hotel
399,Mar Del Plata,AR,53.13,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
401,Poronaysk,RU,64.62,broken clouds,49.2167,143.1167,Avtovokzal Khostel Stolovaya
402,Broken Hill,AU,44.31,moderate rain,-31.95,141.4333,Royal Exchange Hotel
403,Sorgues,FR,73.31,clear sky,44.0102,4.8738,Novotel Avignon Nord
405,Dve Mogili,BG,62.62,clear sky,43.6,25.8667,Къщата с липите
407,Vardo,NO,44.62,light rain,70.3705,31.1107,Vardø Hotel AS
408,Teguise,ES,66.42,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
410,Bilibino,RU,62.49,overcast clouds,68.0546,166.4372,Gostinitsa Severyanka
411,Paraiso,CR,72.46,overcast clouds,9.8383,-83.8656,Rinconcito Verde
412,Burns Lake,CA,60.22,overcast clouds,54.2331,-125.7533,Burns Lake Bed and Breakfast
413,Mount Isa,AU,64.17,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
414,Bontang,ID,77.05,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
417,Panguipulli,CL,49.71,overcast clouds,-39.6333,-72.3333,Cabañas Mis Viejos
418,Buchanan,LR,77.09,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
419,Valle De Allende,MX,79.27,broken clouds,26.9333,-105.4,Hotel Meson de San Bartolome
421,Broome,US,71.1,few clouds,42.2506,-75.833,Chenango Valley State Park
423,Jalu,LY,79.61,clear sky,29.0331,21.5482,صاحبة الفخامة
424,Hualmay,PE,63.97,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
425,Balyaga,RU,59.74,light rain,51.1507,108.921,Gostinitsa
428,Isiolo,KE,65.88,overcast clouds,0.3546,37.5822,Gaddisa Hotel
429,Chinhoyi,ZW,55.04,clear sky,-17.3667,30.2,Msasa Guest House Chinhoyi (Wendy Shaw)
430,Kyren,RU,66.49,clear sky,51.6828,102.1408,"Energetik, Pansionat Ooo ""Grand Baykal"""
432,Praia Da Vitoria,PT,70.05,scattered clouds,38.7333,-27.0667,Hotel Branco I
433,Guerrero Negro,MX,74.21,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
436,Monroe,US,73.78,few clouds,43.1501,-77.6831,"Staybridge Suites Rochester University, an IHG Hotel"
439,Vao,NC,70.34,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
440,Raudeberg,NO,56.19,broken clouds,61.9875,5.1352,Nordre Silda.
441,Sibiti,CG,66.02,clear sky,-3.6819,13.3499,"LE PAPYRUS (hôtel, bar et restaurant)"
443,Chake Chake,TZ,73.51,light rain,-5.2459,39.7666,Hotel Archipelago
445,Makokou,GA,75.51,overcast clouds,0.5738,12.8642,WAMY RESIDENCE HOTEL
446,Odweyne,SO,72.88,scattered clouds,9.4092,45.064,Eng Hiirey House
447,Den Helder,NL,64.94,broken clouds,52.9599,4.7593,Hotel Den Helder
448,Waipawa,NZ,54.23,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
449,Chicama,PE,64.94,few clouds,-7.8447,-79.1469,Balihai Bungalows
450,Sumbawanga,TZ,55.06,clear sky,-7.9667,31.6167,Matamba II Guest House
451,Trairi,BR,78.55,few clouds,-3.2778,-39.2689,janelas do mar
456,Lyngseidet,NO,46.49,overcast clouds,69.5763,20.2189,Magic Mountain Lodge
457,Lumphat,KH,73.85,overcast clouds,13.4878,106.9816,Lumphat Homestay
459,Komatipoort,ZA,56.64,clear sky,-25.4332,31.9548,Kruger View Backpackers
460,San Carlos De Bariloche,AR,46.15,clear sky,-41.1456,-71.3082,Hotel Patagonia
461,Souillac,MU,68.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
462,Noumea,NC,76.98,clear sky,-22.2763,166.4572,Hôtel Le Lagon
463,Uyuni,BO,43.03,clear sky,-20.4597,-66.825,Hostal La Magia de Uyuni
465,Portree,GB,54.86,few clouds,57.4129,-6.1942,The Royal Hotel
466,Kosh-Agach,RU,59.29,broken clouds,50.0,88.6667,Fermerskiy Dom v Kosh-Agache
467,Buloh Kasap,MY,76.91,overcast clouds,2.5536,102.764,Teratak Ixora Segamat
472,Huarmey,PE,64.81,scattered clouds,-10.0681,-78.1522,Hotel Miramar
474,Sept-Iles,CA,65.25,overcast clouds,50.2001,-66.3821,Comfort Inn
475,Sao Jose Da Coroa Grande,BR,74.44,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
476,Krasnyy Yar,RU,78.73,broken clouds,46.5331,48.3456,Cottege near Ufa
477,Ribeira Brava,PT,71.71,clear sky,32.65,-17.0667,Hotel do Campo
478,Kampong Thum,KH,77.85,overcast clouds,12.7111,104.8887,Sambor Village Hotel
479,Salinopolis,BR,78.39,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
480,Cherskiy,RU,62.71,few clouds,68.75,161.3,Gostinitsa
481,Loandjili,CG,71.42,few clouds,-4.7561,11.8578,Résidence ARCHANGE
482,Benito Juarez,MX,68.0,overcast clouds,19.385,-99.165,Hotel Novit
483,North Bend,US,74.25,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
485,Fairbanks,US,77.02,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
487,Cururupu,BR,74.53,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
488,Kannur,IN,78.89,overcast clouds,11.8675,75.3576,Asokam Beach Resort and Ayurveda Chikitsa Kendram
489,Zuwarah,LY,75.58,clear sky,32.9312,12.082,يوسف
