City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
263,Kaitangata,NZ,-46.2817,169.8464,44.2,89,89,7.27,overcast clouds
264,Baswa,IN,27.15,76.5833,83.95,79,99,3.78,overcast clouds
265,Buala,SB,-8.145,159.5921,84.11,71,32,6.8,light rain
266,La Palma,US,33.8464,-118.0467,107.04,52,20,7.0,few clouds
267,Chokurdakh,RU,70.6333,147.9167,47.62,67,92,6.89,overcast clouds
268,Valdez,EC,1.2492,-78.9831,78.44,86,19,10.63,few clouds
269,Miguel Calmon,BR,-11.4289,-40.595,63.61,93,46,7.05,scattered clouds
270,Mitu,CO,1.1983,-70.1733,72.09,98,84,1.97,broken clouds
271,Pljevlja,ME,43.3333,19.3333,56.66,94,0,2.64,clear sky
272,Thinadhoo,MV,0.5333,72.9333,81.3,76,100,7.74,overcast clouds
273,La Ronge,CA,55.1001,-105.2842,70.05,73,90,6.91,smoke
274,Tarancon,ES,40.0085,-3.0073,81.66,38,0,18.75,clear sky
275,Vila,PT,42.0304,-8.1588,64.74,90,10,0.98,clear sky
276,Port Blair,IN,11.6667,92.75,81.12,85,100,21.63,light rain
277,Ponta Delgada,PT,37.7333,-25.6667,68.72,73,75,2.3,broken clouds
278,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,90,0,17.27,clear sky
279,Batagay,RU,67.6333,134.6333,62.69,52,92,6.11,overcast clouds
280,Kruisfontein,ZA,-34.0033,24.7314,41.88,65,87,29.53,light rain
281,Miandrivazo,MG,-19.5167,45.4667,70.5,70,25,3.2,scattered clouds
282,Klaksvik,FO,62.2266,-6.589,52.72,91,0,11.92,clear sky
283,Matara,LK,5.9485,80.5353,78.71,86,100,14.29,overcast clouds
284,Miyako,JP,39.6367,141.9525,75.34,88,100,6.02,overcast clouds
285,Kamenka,RU,51.3223,42.7678,64.36,97,100,11.27,overcast clouds
286,Saint-Paul,RE,-21.0096,55.2707,69.91,72,62,5.84,broken clouds
287,Quickborn,DE,53.7333,9.9,59.79,94,75,1.14,broken clouds
288,Marsa Matruh,EG,31.3525,27.2453,77.2,73,3,14.14,clear sky
289,Dhidhdhoo,MV,6.8833,73.1,83.1,76,100,18.75,overcast clouds
290,Dalvik,IS,65.9702,-18.5286,60.73,67,0,6.89,clear sky
291,Esperance,AU,-33.8667,121.9,51.64,65,100,17.13,overcast clouds
